NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,23003,SILBAYNE LOUISE PEREIRA DE MOURA SILVA,87
CUIABA,Vereador,23010,CLAUDIANE HELENA DO ROSARIO LORENZON,87
CUIABA,Vereador,23023,JEFFERSON LUIS DALTRO MONTEIRO DA SILVA,127
CUIABA,Vereador,23123,EDIVALDO ROCHA DOS SANTOS,248
CUIABA,Vereador,23234,ALDEMIR OLIVEIRA SANTOS FILHO,175
CUIABA,Vereador,23321,THIAGO WILLIAN GOMES SANT ANA,1
CUIABA,Vereador,23322,TEREZINHA BERTINI BUENO,30
CUIABA,Vereador,23333,THAMYRES DE CARVALHO GALAXE,49
CUIABA,Vereador,23444,LUIS FERNANDO OLIVEIRA DIAS,3659
CUIABA,Vereador,23456,RAFAEL SILVA DO AMARAL,1272
CUIABA,Vereador,27000,CRISTIANO NOGUEIRA PERES PREZA,1653
CUIABA,Vereador,27015,ESTIVE ALEN MARQUES PEREIRA,331
CUIABA,Vereador,27027,GABRIEL GONCALVES DE MIRANDA,553
CUIABA,Vereador,27033,RAIMUNDO NONATO NUNES SILVA,59
CUIABA,Vereador,27111,CLEBIO ROSA BORGES,724
CUIABA,Vereador,27123,ELIAS DO NASCIMENTO GALLI,5
CUIABA,Vereador,27190,YURE ALVES MIRANDA,171
CUIABA,Vereador,27238,ANA CLARICE RODRIGUES DE JESUS,24
CUIABA,Vereador,27321,NEWTON CESAR PEREIRA,653
CUIABA,Vereador,27440,MARLUCE BENEDITO DE OLIVEIRA,38
CUIABA,Vereador,27456,DELVI LINS,230
CUIABA,Vereador,27500,BELCHIOR CAMILO DA SILVA,78
CUIABA,Vereador,27555,ODAIR OROZIMBO MEDEIROS,187
CUIABA,Vereador,27621,CASSIMIRO DA SILVA FILHO,3
CUIABA,Vereador,27650,FRANCIVALDO AFONSO VIEIRA,88
CUIABA,Vereador,27700,ARIEL CAMARGO TRENTINI,13
CUIABA,Vereador,27702,JOANA D ARC BARONI,21
CUIABA,Vereador,27777,FERNANDES GOMES DE SOUZA,368
CUIABA,Vereador,27789,MARCOS ANTONIO RIBEIRO DA CRUZ,1187
CUIABA,Vereador,27888,CRISTIANE DE ALMEIDA LARA,4
CUIABA,Vereador,27999,OSVALDO DE SOUZA BRITO,1754
CUIABA,Vereador,28000,JULIANO NARDEZ BRANCO,704
CUIABA,Vereador,28001,WELINGTON GOMES BEZERRA DE OLIVEIRA,289
CUIABA,Vereador,28007,JESSICA ROCHA VIEIRA,6
CUIABA,Vereador,28055,LUIZ ANTONIO GIROLDO FILHO,262
CUIABA,Vereador,28088,CONCEICAO APARECIDA DA CRUZ COSTA,364
CUIABA,Vereador,28100,LEONARDO SABOIA PAES DE BARROS,182
CUIABA,Vereador,28111,SANDRA DA SILVA BARBOSA,319
CUIABA,Vereador,28123,DEMILSON DA SILVA SOARES,209
CUIABA,Vereador,28128,DIONI RUAN MOTA MARIANO,789
CUIABA,Vereador,28190,AMINADABE MATILDES DIAS,294
CUIABA,Vereador,28200,NATAL MORALECO FILHO,117
CUIABA,Vereador,28222,RAPHAEL ALVES BRUNINI,509
CUIABA,Vereador,28223,EDLAINE DA SILVA MAIA AGUIAR,60
CUIABA,Vereador,28233,ALESSANDRO CASTRO DA SILVA,9
CUIABA,Vereador,28333,IRAPUA FERREIRA DE CARVALHO,144
CUIABA,Vereador,28444,CREONI DA SILVA DIAS,1514
CUIABA,Vereador,28456,RENAN ARAUJO TAQUES DE CARVALHO,192
CUIABA,Vereador,28500,PABLO DA SILVA LIMA,9
CUIABA,Vereador,28555,JEFFERSON CARVALHO MONTEIRO,479
CUIABA,Vereador,28665,SIDNEY DE SOUZA,625
CUIABA,Vereador,28666,ONILCE HELENA DO NASCIMENTO,249
CUIABA,Vereador,28667,TANIA MENDES SANTIAGO,734
CUIABA,Vereador,28678,CASSIO ROBERTO URBANO FRANÃA,357
CUIABA,Vereador,28777,ELEUS VIEIRA DE AMORIM,992
CUIABA,Vereador,28789,SILVIA MARIA PAPI SANTANA,212
CUIABA,Vereador,28888,ALESSANDRA SOUZA REIS,167
CUIABA,Vereador,28999,JOÃO PEDRO PIMENTA,255
CUIABA,Vereador,30000,WALDEMIR ALVES PEREIRA,696
CUIABA,Vereador,30003,CLEBER BENEDITO BAZZANO MORAES,122
CUIABA,Vereador,30007,RONIE PETERSON DIAS DA GUIA,175
CUIABA,Vereador,30010,JOSE SIRLEI ROZA DE LIMA,284
CUIABA,Vereador,30022,VANDERSON ALVES NUNES,1056
CUIABA,Vereador,30024,SORAYA FERREIRA DA SILVA,79
CUIABA,Vereador,30030,NATALICIO CARVALHO SANTOS,105
CUIABA,Vereador,30123,MATEUS VINICIOS FUIM DOS REIS,404
CUIABA,Vereador,30133,ADRIANO BATISTA,101
CUIABA,Vereador,30147,LUIZ FERNANDO RODRIGUES DE SOUZA,75
CUIABA,Vereador,30170,MARCIA PEREIRA SARDINHA,42
CUIABA,Vereador,30190,ZÃZIMA DIAS DOS SANTOS,463
CUIABA,Vereador,30192,WALDEMIR RODRIGUES DE MATOS,397
CUIABA,Vereador,30222,CLAUDIA FATIMA DE SALES,68
CUIABA,Vereador,30230,ARIELLE FERREIRA DOS SANTOS,46
CUIABA,Vereador,30260,HELISAINE CRISTINI RIBEIRO,62
CUIABA,Vereador,30271,RAYRA SILVESTRE SOUZA,33
CUIABA,Vereador,30300,ALDNAIR BEZERRA DA SILVA,157
CUIABA,Vereador,30321,FABRICIO VIEIRA,55
CUIABA,Vereador,30330,LORRAYNE GOMES DE ANDRADE PIMENTA,150
CUIABA,Vereador,30333,ARTHUR FABIANO GARCIA E SILVA,2283
CUIABA,Vereador,30444,PAULO SERGIO BORGES DA SILVA,199
CUIABA,Vereador,30456,JOEL GERALDO DA SILVA,195
CUIABA,Vereador,30555,FÃBIO DA SILVA OLIVEIRA,281
CUIABA,Vereador,30789,BENEDITO CEDRONIAS DE ALMEIDA,122
CUIABA,Vereador,30888,JAQUE DOUGLAS NUNES DINIS,23
CUIABA,Vereador,35000,RENATO DA SILVA MOTA,1309
CUIABA,Vereador,35001,MARIA SOCORRO FILHA VERONEZ,31
CUIABA,Vereador,35007,ELIANE SILVA RIBEIRO,114
CUIABA,Vereador,35009,ANA MARIA BATISTA NELSON,334
CUIABA,Vereador,35010,THYAGO STEPHANE CORREA,354
CUIABA,Vereador,35035,FERNANDO ALENCAR BEZERRA,1128
CUIABA,Vereador,35065,MARIA INES MARTINS BOTELHO,80
CUIABA,Vereador,35100,DEVAIR RODRIGUES RIBEIRO,709
CUIABA,Vereador,35110,EDJANE BRITO GARCIA BOTELHO DA SILVA,75
CUIABA,Vereador,35111,MARCIO DE BULHOES ARAUJO,294
CUIABA,Vereador,35123,JOSÃ DE LIMA ARAUJO QUEIROZ,490
CUIABA,Vereador,35135,RODRIGO DE SANTA ANA,60
CUIABA,Vereador,35171,CLAUDIA AVELINO NOIA,26
CUIABA,Vereador,35190,ERLON RODRIGUES PEREIRA,283
CUIABA,Vereador,35192,GILBERTO LOPES FILHO,97
CUIABA,Vereador,35196,GIRLAYNNE CARLA DE ALMEIDA SANTOS,241
CUIABA,Vereador,35220,JOSÃ MENEZES SIQUEIRA,262
CUIABA,Vereador,35222,RONALDO ARNALDO DA SILVA,432
CUIABA,Vereador,35250,EMANUELLE KAROLINA VICTOR SOARES,39
CUIABA,Vereador,35333,DEYWISON PAULA DE MORAES,1620
CUIABA,Vereador,35444,SILVANIO DA SILVA CRUZ,1797
CUIABA,Vereador,35500,LUIZ WALTER TEIXEIRA DE SOUZA,267
CUIABA,Vereador,35555,MARCELO PIRES DE SOUZA,973
CUIABA,Vereador,35610,ADMILSON ANTONIO DE ASSIS,699
CUIABA,Vereador,35655,PAULA PEDROSO RAMOS MORAES DE ALMEIDA,151
CUIABA,Vereador,35700,SIMONE MARIA MANO DE INCROCCI,521
CUIABA,Vereador,35777,MARCIONE MENDES DE PINHO,518
CUIABA,Vereador,35800,WILSON NONATO SILVA,1964
CUIABA,Vereador,40000,ELGA VICUNA ARRUDA FIGUEIREDO,432
CUIABA,Vereador,40004,MARCELO CONCEIÃÃO DA CUNHA,491
CUIABA,Vereador,40030,MERIELLY CRISTINA NANTES,388
CUIABA,Vereador,40040,JOSÃ AUGUSTO DE CAMPOS,1534
CUIABA,Vereador,40100,GUSTAVO PADILHA PINTO SILVA,2113
CUIABA,Vereador,40111,REGINA DOS SANTOS COSTA FERRAZ SOARES,564
CUIABA,Vereador,40120,MARISA HELENA ALVES,196
CUIABA,Vereador,40122,ROBERTO GONÃALVES PERON,919
CUIABA,Vereador,40123,KATIUSCIA MANTELI ANDRADE DE TOLEDO,2785
CUIABA,Vereador,40140,ADILSON AMÃRICO MACHADO DE OLIVEIRA,1290
CUIABA,Vereador,40190,JOELSON FERNANDES DO AMARAL,2945
CUIABA,Vereador,40222,NILSON PORTELA FERREIRA,1396
CUIABA,Vereador,40234,ANDREA JANAINA DE MELLO,846
CUIABA,Vereador,40300,LAURO BOA SORTE CARNEIRO,171
CUIABA,Vereador,40321,JANDEIVID LOURENÃO MOURA,1415
CUIABA,Vereador,40333,ARI SOARES DE ARAÃJO FILHO,136
CUIABA,Vereador,40400,ILDEFONSO TAQUES DE LUCENA FILHO,4731
CUIABA,Vereador,40444,JEAN MARCEL DE ALMEIDA BARROS,1774
CUIABA,Vereador,40456,VILMA PAULA BARROS DE ASSIS,980
CUIABA,Vereador,40500,VICTOR HUGO ALVES,263
CUIABA,Vereador,40555,MARIA EDUARDA DE FRANÃA MOLINA,352
CUIABA,Vereador,40567,DÃDIMO DA SILVA RODRIGUES,3137
CUIABA,Vereador,40600,CARLA FAHIMA NARCAY MILAS,1039
CUIABA,Vereador,40777,ADRIANE MARTINS DA SILVA,249
CUIABA,Vereador,40789,ÃDIO MARTINS DE SOUZA,677
CUIABA,Vereador,40800,ADRYA ALMEIDA SOUZA,1460
CUIABA,Vereador,40888,JOSÃ PAULO DIAS ROBERTO DE PAULA,189
CUIABA,Vereador,40999,MARIA DARLING RODRIGUES,627
CUIABA,Vereador,43000,JANIO FLAVIO DE AMORIM,913
CUIABA,Vereador,43003,ODILZA TEREZINHA DA SILVA,13
CUIABA,Vereador,43043,JOSE ABEL DO NASCIMENTO,230
CUIABA,Vereador,43123,MARIO ANTONIO MOYSES NADAF,2747
CUIABA,Vereador,43222,LUIZ AUGUSTO GOMES DA SILVA,243
CUIABA,Vereador,43223,GILSON PEREIRA BATISTA,303
CUIABA,Vereador,43300,ALEX RODRIGUES,5556
CUIABA,Vereador,43333,ALUÃZIO LEITE PAREDES,763
CUIABA,Vereador,43443,OZIANE ALVES RODRIGUES,741
CUIABA,Vereador,43444,MARCUS ANTONIO DE SOUZA BRITO JUNIOR,2558
CUIABA,Vereador,43456,CARLA COSTA BRAGA,900
CUIABA,Vereador,43773,JULIANE NUNES DA SILVA,183
CUIABA,Vereador,43777,MARCIA DE SOUZA CARDOSO,8
CUIABA,Vereador,43789,NILSON NERES REIS SOUZA,370
CUIABA,Vereador,43800,RONALD MUZZI NETO,721
CUIABA,Vereador,44000,JOSÃ CEZAR NASCIMENTO,4733
CUIABA,Vereador,44001,WILLIAN COSTA CAMPOS,379
CUIABA,Vereador,44007,VALDEMIR BERNARDINO DA SILVA,212
CUIABA,Vereador,44044,CARLOS FRANCISCO RODRIGUES DA COSTA,403
